date,nav,shares_outstanding,total_net_assets
2024-09-25,44.667902,181100000,8089357034.8
2024-09-26,44.206885,181200000,8010287499.38
2024-09-27,44.289067,180900000,8011892160.22
2024-09-30,44.666559,185850000,8301280024.06
2024-10-01,44.392115,185900000,8252494222.15
2024-10-02,44.226636,186250000,8237210891.03
2024-10-03,43.794137,181800000,7961774137.82
2024-10-04,43.51035,181750000,7908006126.99
2024-10-07,43.193064,183000000,7904330754.32
2024-10-08,43.313815,182250000,7893942745.47
2024-10-09,43.354391,182050000,7892666878.54
2024-10-10,42.97573,182500000,7843070736.11
2024-10-11,43.42886,182900000,7943138422.69
2024-10-14,43.724689,182900000,7997245561.06
2024-10-15,44.270069,182900000,8096995705.87
2024-10-16,44.718166,183450000,8203547485.71
2024-10-17,44.414247,183450000,8147793550.82
2024-10-18,44.738349,183600000,8213960900.28
2024-10-21,43.807351,184350000,8075885122.55
2024-10-22,43.875789,183600000,8055594786.64
2024-10-23,44.324063,183200000,8120168283.96
2024-10-24,44.420091,182900000,8124434734.71
2024-10-25,44.083242,183550000,8091479081.08
2024-10-28,44.205377,183550000,8113896956.09
2024-10-29,43.789243,183550000,8037515501.43
2024-10-30,43.958985,183150000,8051088056.93
2024-10-31,43.200196,185100000,7996356240.65
2024-11-01,42.737943,184450000,7883013511.92
2024-11-04,43.22934,184100000,7958521502.44
2024-11-05,43.818389,184100000,8066965435.77
2024-11-06,42.663518,184100000,7854353731.86
2024-11-07,43.170342,183250000,7910965168.28
2024-11-08,43.888355,179550000,7880154136.62
2024-11-11,43.535212,178550000,7773212047.03
2024-11-12,42.974768,175950000,7561410513.37
2024-11-13,43.318751,174550000,7561288069.26
2024-11-14,42.918941,174550000,7491501197.19
2024-11-15,42.987857,173600000,7462692054.72
2024-11-18,43.349955,173600000,7525552142.45
2024-11-19,43.544872,174450000,7596402936.4
2024-11-20,43.464929,174450000,7582456919.85
2024-11-21,43.744126,174650000,7639911545.87
2024-11-22,44.110053,175100000,7723670270.1
2024-11-25,44.674543,175100000,7822512437.16
2024-11-26,44.908933,174450000,7834363371.7
2024-11-27,45.208762,175500000,7934137689.27
2024-11-29,44.97807,176200000,7925135861.81
2024-12-02,44.339209,176800000,7839172119.93
2024-12-03,44.067568,176450000,7775722364.56
2024-12-04,43.935401,176450000,7752401514.74
2024-12-05,43.817567,176650000,7740373259.83
2024-12-06,43.798659,176750000,7741413057.91
2024-12-09,43.864051,176500000,7742005047.52
2024-12-10,43.148944,175650000,7579112030.14
2024-12-11,43.044878,174750000,7522092517.23
2024-12-12,43.008687,174500000,7505015938.52
2024-12-13,42.818934,173850000,7444071689.24
2024-12-16,42.623457,173850000,7410087946.21
2024-12-17,42.413486,173850000,7373584500.43
2024-12-18,40.735184,173400000,7063480945.73
2024-12-19,40.046188,173250000,6938002107.42
2024-12-20,40.773909,172050000,7015151019.63
2024-12-23,40.539336,171600000,6956550109.78
2024-12-24,40.828968,170800000,6973587817.23
2024-12-26,40.892779,170750000,6982442052.96
2024-12-27,40.5148,170600000,6911824899.44
2024-12-30,40.332182,170600000,6880670219.49
2024-12-31,40.677056,170400000,6931370365.84
2025-01-02,40.295858,170400000,6866414138.56
2025-01-03,40.842267,170350000,6957480192.93
2025-01-06,40.268617,170500000,6865799162.99
2025-01-07,39.977512,170600000,6820163474.58
2025-01-08,40.153792,170850000,6860275400.63
2025-01-10,39.171396,170850000,6692432980.48
2025-01-13,39.66106,170850000,6776092120.44
2025-01-14,40.010428,170850000,6835781594.06
2025-01-15,40.193527,171400000,6889170545.87
2025-01-16,41.090528,171400000,7042916447.68
2025-01-17,41.07303,171250000,7033756363.54
2025-01-21,41.824453,171250000,7162437652.63
2025-01-22,41.087562,171550000,7048571210.42
2025-01-23,41.425218,171300000,7096139910.48
2025-01-24,41.554341,171950000,7145269002.57
2025-01-27,41.969586,172600000,7243950518.16
2025-01-28,41.447667,172600000,7153867392.86
2025-01-29,40.954418,172850000,7078971182.39
2025-01-30,41.512076,172350000,7154606284.71
2025-01-31,41.42007,173150000,7171885045.5
2025-02-03,41.342421,173150000,7158440231.48
2025-02-04,41.344702,172100000,7115423172.06
2025-02-05,41.999476,171800000,7215509993.07
2025-02-06,42.127095,171800000,7237434930.17
2025-02-07,41.951786,171800000,7207316896.13
2025-02-10,42.029892,172300000,7241750311.63
2025-02-11,42.263588,172150000,7275676745.45
2025-02-12,41.877551,171800000,7194563237.85
2025-02-13,42.229115,171750000,7252850490.76
2025-02-14,42.050705,170300000,7161235014.67
2025-02-18,42.219886,170600000,7202712551.56
2025-02-19,42.288851,171500000,7252537952.21
2025-02-20,42.578893,171500000,7302280123.74
2025-02-21,42.236738,171000000,7222482258.53
2025-02-24,42.38687,170750000,7237558132.79
2025-02-25,42.887464,170750000,7323034440.22
2025-02-26,42.652688,171500000,7314935999.18
2025-02-27,42.820691,172600000,7390851282.97
2025-02-28,43.166628,172500000,7446243295.95
2025-03-03,43.509295,172400000,7501002485.54
2025-03-04,42.982753,174900000,7517683529.98
2025-03-05,43.416341,176300000,7654300913.91
2025-03-06,42.21005,177750000,7502836418.85
2025-03-07,42.47467,177750000,7549872528.73
2025-03-10,42.065336,177650000,7472906870.35
2025-03-11,41.630094,179300000,7464275825.92
2025-03-12,41.47502,177900000,7378406107.24
2025-03-13,40.667566,177400000,7214426216.46
2025-03-14,41.470425,180050000,7466749937.97
2025-03-17,42.163042,177650000,7490264323.71
2025-03-18,41.930015,177000000,7421612658.27
2025-03-19,41.960551,176500000,7406037240.69
2025-03-20,41.939037,177000000,7423209553.52
2025-03-21,41.508838,177900000,7384422312.49
2025-03-24,41.835485,177100000,7409064452.72
2025-03-25,41.326933,175950000,7271473946.69
2025-03-26,41.539487,175750000,7300564825.87
2025-03-27,41.440855,175750000,7283230239.04
2025-03-28,41.435509,174600000,7234639930.6
2025-03-31,41.856053,177650000,7435727791.83
2025-04-01,41.90536,175650000,7360676443.99
2025-04-02,42.103393,176350000,7424933327.35
2025-04-03,40.848876,176200000,7197571926.63
2025-04-04,38.960104,176300000,6868666247.22
2025-04-07,38.025211,175200000,6662017028.85
2025-04-08,37.089912,174000000,6453644691.98
2025-04-09,39.219721,174400000,6839919325.0
2025-04-10,38.410972,173850000,6677747520.67
2025-04-11,38.933915,173300000,6747247541.68
2025-04-14,39.770866,172800000,6872405716.29
2025-04-15,39.870617,172400000,6873694383.17
2025-04-16,39.807688,174000000,6926537732.27
2025-04-17,40.453277,174750000,7069210147.33
2025-04-21,39.610027,174950000,6929774261.05
2025-04-22,40.435995,174950000,7074277359.61
2025-04-23,40.487615,174950000,7083308328.32
