date,nav,shares_outstanding,total_net_assets
2019-02-08,45.707865,89700000,4099995460.27
2019-02-11,45.255488,89550000,4052628988.3
2019-02-12,45.781389,89550000,4099723376.67
2019-02-13,45.825558,89900000,4119717694.4
2019-02-14,45.964781,88900000,4086269064.07
2019-02-15,46.166894,88900000,4104236854.97
2019-02-19,46.218622,89050000,4115768280.7
2019-02-20,46.046878,87600000,4033706482.29
2019-02-21,45.62487,89650000,4090269638.78
2019-02-22,46.06427,90150000,4152693936.59
2019-02-25,46.103663,92150000,4248452582.8
2019-02-26,46.118418,92200000,4252118160.72
2019-02-27,45.891461,94300000,4327564802.68
2019-02-28,45.896926,95000000,4360207932.03
2019-03-01,46.270383,95450000,4416508055.7
2019-03-04,46.319982,97750000,4527778245.05
2019-03-05,46.617509,95200000,4437986901.73
2019-03-06,46.589683,94550000,4405054522.26
2019-03-07,46.209627,97100000,4486954780.4
2019-03-08,46.181277,100150000,4625054869.46
2019-03-11,46.990311,100400000,4717827193.38
2019-03-12,47.183294,99150000,4678223591.85
2019-03-13,47.360085,103250000,4889928789.16
2019-03-14,47.122605,105300000,4962010342.61
2019-03-15,46.992852,105550000,4960095566.29
2019-03-18,46.627143,108100000,5040394201.56
2019-03-19,46.695636,108550000,5068811259.48
2019-03-20,47.122463,108400000,5108075007.39
2019-03-21,47.717827,113200000,5401658025.21
2019-03-22,46.966956,113200000,5316659442.04
2019-03-25,46.893275,114000000,5345833369.0
2019-03-26,47.134016,113000000,5326143763.02
2019-03-27,46.791841,116050000,5430193115.5
2019-03-28,46.679282,113450000,5295764560.54
2019-03-29,46.76693,113450000,5305708262.17
2019-04-01,47.499633,113050000,5369833543.21
2019-04-02,47.750038,113000000,5395754315.76
2019-04-03,47.920334,112550000,5393433569.02
2019-04-04,48.170248,111550000,5373391118.28
2019-04-05,48.308436,111550000,5388806022.37
2019-04-08,48.226579,111600000,5382086245.55
2019-04-09,48.332096,114000000,5509858903.1
2019-04-10,48.568743,113350000,5505267039.28
2019-04-11,48.589608,113900000,5534356307.25
2019-04-12,49.016445,113400000,5558464866.02
2019-04-15,48.968448,115900000,5675443132.24
